Mean,High,Low,Open,Ma,Rsi,CCI,adx,Macd,atr,Chaiken,HighLow,Aligator,AC,AD,Close,Date,Dt,Mom-BollObv,Adx-Boll
7457.5,7544,7371,0.90387,0.90387,54.71879,-55.5027,19.48069,0.00092,0.0013,1665796,828.67168,0.90387,-0.00024,-1934378.88,0.90387,2018.12.28 12:00:00,1,1,1
7380,7452,7308,0.90318,0.90381,51.91496,-123.47136,17.98668,0.00075,0.00125,1661628,-291.48719,0.90381,-0.00039,-1937967.991,0.90318,2018.12.28 13:00:00,1,1,1
7312,7361,7263,0.90278,0.90372,50.3828,-182.75917,17.64338,0.00058,0.00117,1657210,-1521.9643,0.90372,-0.00061,-1940943.379,0.90279,2018.12.28 14:00:00,1,1,1
7308,7370,7246,0.90368,0.90371,53.62543,-77.39328,17.61546,0.00051,0.00113,1662722,-1491.85787,0.90371,-0.00088,-1935698.088,0.90367,2018.12.28 15:00:00,1,1,1
7329,7404,7254,0.90279,0.90363,50.18192,-153.31514,16.92713,0.00038,0.00107,1656565,-2090.44004,0.90363,-0.00097,-1939802.755,0.90279,2018.12.28 16:00:00,1,1,1
7224,7319,7129,0.90138,0.90342,45.19543,-245.88662,17.65541,0.00016,0.0011,1647727,-3768.29684,0.90342,-0.00105,-1948082.566,0.90135,2018.12.28 17:00:00,1,1,1
7180.5,7234,7127,0.90133,0.90323,45.13003,-210.34927,18.35261,-2.00E-05,0.00111,1642201,-5607.18863,0.90323,-0.00102,-1952988.827,0.90133,2018.12.28 18:00:00,1,1,1
7089.5,7141,7038,0.90083,0.90301,43.54226,-196.89329,20.39486,-0.0002,0.00107,1637897,-6793.37292,0.90301,-0.001,-1953364.905,0.90085,2018.12.28 19:00:00,1,1,1
7115.5,7175,7056,0.90145,0.90287,46.03421,-130.78022,21.35322,-0.00029,0.0011,1641571,-7157.94598,0.90287,-0.00094,-1951543.342,0.90145,2018.12.28 20:00:00,1,1,1
7122,7155,7089,0.90126,0.90273,45.36838,-120.46084,22.22445,-0.00037,0.00106,1638759,-7189.61203,0.90273,-0.00088,-1951202.494,0.90126,2018.12.28 21:00:00,1,1,1
7125.5,7158,7093,0.90092,0.90257,44.40996,-116.17852,22.85543,-0.00045,0.00106,1635868,-7422.82358,0.90257,-0.00065,-1953559.77,0.90099,2018.12.28 22:00:00,1,1,1
7107.5,7178,7037,0.90034,0.90237,42.25753,-128.08054,24.1601,-0.00056,0.00108,1633004,-7868.76728,0.90237,-0.00044,-1956423.77,0.90037,2018.12.28 23:00:00,1,1,1
7052,7110,6994,0.90055,0.90221,43.37306,-103.85433,25.94206,-0.00062,0.00111,1633515,-7981.36937,0.90221,-0.00027,-1956344.477,0.90061,2018.12.31 00:00:00,1,1,1
7098.5,7149,7048,0.90138,0.90213,46.8332,-63.59605,26.16579,-0.0006,0.00111,1635551,-7623.39413,0.90213,-0.00014,-1954751.962,0.90138,2018.12.31 01:00:00,1,1,1
